event_id,employee_id,event_type,event_date,new_job_title,new_department,new_salary,created_at
1,E1000,transfer,2026-03-12,Support Specialist,Support,131183.0,2026-09-07 15:41:39.186659
2,E1000,salary_change,2026-03-28,,,130133.0,2026-09-07 15:41:39.186659
3,E1000,salary_change,2026-06-06,,,136411.0,2026-09-07 15:41:39.186659
4,E1000,promotion,2026-03-06,HR Specialist,HR,131555.0,2026-09-07 15:41:39.186659
5,E1000,promotion,2026-04-11,Finance Analyst,Finance,142572.0,2026-09-07 15:41:39.186659
6,E1001,transfer,2022-08-06,HR Specialist,HR,130328.0,2026-09-07 15:41:39.186659
7,E1001,termination,2025-02-18,,,,2026-09-07 15:41:39.186659
8,E1001,salary_change,2025-05-26,,,108861.0,2026-09-07 15:41:39.186659
9,E1001,promotion,2024-06-30,Finance Analyst,Finance,133310.0,2026-09-07 15:41:39.186659
10,E1001,promotion,2023-10-25,Data Engineer,Data,145167.0,2026-09-07 15:41:39.186659
11,E1002,salary_change,2022-03-21,,,103610.0,2026-09-07 15:41:39.186659
12,E1002,salary_change,2023-12-09,,,112996.0,2026-09-07 15:41:39.186659
13,E1002,termination,2024-11-29,,,,2026-09-07 15:41:39.186659
14,E1002,termination,2024-05-23,,,,2026-09-07 15:41:39.186659
15,E1003,promotion,2025-08-31,Data Engineer,Data,57973.0,2026-09-07 15:41:39.186659
16,E1003,promotion,2026-04-05,Software Engineer,Engineering,70553.0,2026-09-07 15:41:39.186659
17,E1003,salary_change,2026-03-01,,,63948.0,2026-09-07 15:41:39.186659
18,E1003,promotion,2025-12-15,Product Manager,Product,65492.0,2026-09-07 15:41:39.186659
19,E1004,termination,2019-11-11,,,,2026-09-07 15:41:39.186659
20,E1005,promotion,2025-06-24,Support Specialist,Support,76386.0,2026-09-07 15:41:39.186659
21,E1007,salary_change,2026-07-12,,,72452.0,2026-09-07 15:41:39.186659
22,E1007,termination,2026-07-18,,,,2026-09-07 15:41:39.186659
23,E1007,termination,2026-07-27,,,,2026-09-07 15:41:39.186659
24,E1007,promotion,2026-04-05,Finance Analyst,Finance,82812.0,2026-09-07 15:41:39.186659
25,E1008,transfer,2026-01-29,Finance Analyst,Finance,82236.0,2026-09-07 15:41:39.186659
26,E1008,salary_change,2025-08-29,,,70228.0,2026-09-07 15:41:39.186659
27,E1008,termination,2026-02-28,,,,2026-09-07 15:41:39.186659
28,E1008,salary_change,2025-11-16,,,71459.0,2026-09-07 15:41:39.186659
29,E1008,termination,2025-05-27,,,,2026-09-07 15:41:39.186659
30,E1009,transfer,2024-07-30,Finance Analyst,Finance,95809.0,2026-09-07 15:41:39.186659
31,E1009,transfer,2021-06-21,Support Specialist,Support,89318.0,2026-09-07 15:41:39.186659
32,E1009,termination,2024-01-12,,,,2026-09-07 15:41:39.186659
33,E1009,promotion,2023-06-26,Sales Manager,Sales,106376.0,2026-09-07 15:41:39.186659
34,E1009,transfer,2021-03-23,Support Specialist,Support,99745.0,2026-09-07 15:41:39.186659
35,E1010,termination,2021-11-21,,,,2026-09-07 15:41:39.186659
36,E1010,promotion,2020-10-12,Software Engineer,Engineering,122269.0,2026-09-07 15:41:39.186659
37,E1010,termination,2021-11-21,,,,2026-09-07 15:41:39.186659
38,E1010,transfer,2021-04-01,Support Specialist,Support,108180.0,2026-09-07 15:41:39.186659
39,E1011,termination,2024-01-01,,,,2026-09-07 15:41:39.186659
40,E1011,promotion,2023-02-18,Finance Analyst,Finance,68764.0,2026-09-07 15:41:39.186659
41,E1011,salary_change,2023-07-06,,,59441.0,2026-09-07 15:41:39.186659
42,E1012,promotion,2025-01-09,Finance Analyst,Finance,55707.0,2026-09-07 15:41:39.186659
43,E1012,transfer,2026-04-20,Product Manager,Product,59072.0,2026-09-07 15:41:39.186659
44,E1012,transfer,2023-12-20,Support Specialist,Support,50529.0,2026-09-07 15:41:39.186659
45,E1012,promotion,2025-10-24,Sales Manager,Sales,55138.0,2026-09-07 15:41:39.186659
46,E1013,promotion,2026-07-05,Finance Analyst,Finance,74183.0,2026-09-07 15:41:39.186659
47,E1013,termination,2024-08-29,,,,2026-09-07 15:41:39.186659
48,E1013,promotion,2023-01-24,HR Specialist,HR,71082.0,2026-09-07 15:41:39.186659
49,E1013,salary_change,2026-07-02,,,60035.0,2026-09-07 15:41:39.186659
50,E1013,salary_change,2022-06-21,,,61765.0,2026-09-07 15:41:39.186659
51,E1014,transfer,2025-03-06,Sales Manager,Sales,106888.0,2026-09-07 15:41:39.186659
52,E1014,promotion,2025-11-12,Finance Analyst,Finance,90861.0,2026-09-07 15:41:39.186659
53,E1014,promotion,2026-03-06,Software Engineer,Engineering,104971.0,2026-09-07 15:41:39.186659
54,E1015,termination,2025-06-20,,,,2026-09-07 15:41:39.186659
55,E1016,termination,2023-12-05,,,,2026-09-07 15:41:39.186659
56,E1016,salary_change,2024-09-15,,,49939.0,2026-09-07 15:41:39.186659
57,E1017,transfer,2016-11-26,Sales Manager,Sales,107253.0,2026-09-07 15:41:39.186659
58,E1018,promotion,2024-10-10,Support Specialist,Support,100812.0,2026-09-07 15:41:39.186659
59,E1018,transfer,2018-04-03,HR Specialist,HR,111231.0,2026-09-07 15:41:39.186659
60,E1018,promotion,2018-10-05,HR Specialist,HR,95178.0,2026-09-07 15:41:39.186659
61,E1018,salary_change,2018-04-15,,,89307.0,2026-09-07 15:41:39.186659
62,E1018,salary_change,2018-11-22,,,89363.0,2026-09-07 15:41:39.186659
63,E1019,salary_change,2026-01-19,,,96924.0,2026-09-07 15:41:39.186659
64,E1019,promotion,2026-03-12,Finance Analyst,Finance,95925.0,2026-09-07 15:41:39.186659
65,E1019,termination,2026-06-29,,,,2026-09-07 15:41:39.186659
66,E1019,salary_change,2026-05-16,,,86068.0,2026-09-07 15:41:39.186659
67,E1019,transfer,2026-04-25,Software Engineer,Engineering,99866.0,2026-09-07 15:41:39.186659
68,E1020,promotion,2021-04-01,HR Specialist,HR,89802.0,2026-09-07 15:41:39.186659
69,E1020,promotion,2021-03-12,Product Manager,Product,91675.0,2026-09-07 15:41:39.186659
70,E1021,salary_change,2021-02-03,,,52536.0,2026-09-07 15:41:39.186659
71,E1021,promotion,2021-09-16,Data Engineer,Data,53882.0,2026-09-07 15:41:39.186659
72,E1021,promotion,2023-03-01,Product Manager,Product,50980.0,2026-09-07 15:41:39.186659
73,E1021,salary_change,2024-05-10,,,52257.0,2026-09-07 15:41:39.186659
74,E1021,termination,2023-09-10,,,,2026-09-07 15:41:39.186659
75,E1022,salary_change,2024-02-16,,,153221.0,2026-09-07 15:41:39.186659
76,E1022,transfer,2026-05-03,Finance Analyst,Finance,148575.0,2026-09-07 15:41:39.186659
77,E1022,termination,2023-02-27,,,,2026-09-07 15:41:39.186659
78,E1023,salary_change,2018-08-23,,,103380.0,2026-09-07 15:41:39.186659
79,E1023,promotion,2021-10-06,HR Specialist,HR,114342.0,2026-09-07 15:41:39.186659
80,E1023,promotion,2022-11-01,Product Manager,Product,104566.0,2026-09-07 15:41:39.186659
81,E1023,termination,2023-05-11,,,,2026-09-07 15:41:39.186659
82,E1023,termination,2023-05-11,,,,2026-09-07 15:41:39.186659
83,E1024,salary_change,2023-11-03,,,69547.0,2026-09-07 15:41:39.186659
84,E1025,salary_change,2025-06-07,,,85321.0,2026-09-07 15:41:39.186659
85,E1025,promotion,2023-10-06,Data Engineer,Data,107476.0,2026-09-07 15:41:39.186659
86,E1025,termination,2025-12-15,,,,2026-09-07 15:41:39.186659
87,E1027,salary_change,2025-06-12,,,121000.0,2026-09-07 15:41:39.186659
88,E1027,salary_change,2025-06-13,,,113803.0,2026-09-07 15:41:39.186659
89,E1028,transfer,2026-03-09,Sales Manager,Sales,75425.0,2026-09-07 15:41:39.186659
90,E1028,promotion,2026-07-17,HR Specialist,HR,86469.0,2026-09-07 15:41:39.186659
91,E1028,salary_change,2026-02-26,,,69426.0,2026-09-07 15:41:39.186659
92,E1028,termination,2025-07-31,,,,2026-09-07 15:41:39.186659
93,E1028,termination,2025-11-19,,,,2026-09-07 15:41:39.186659
94,E1029,salary_change,2025-11-26,,,92887.0,2026-09-07 15:41:39.186659
95,E1029,transfer,2023-12-13,Support Specialist,Support,88743.0,2026-09-07 15:41:39.186659
96,E1029,termination,2025-07-30,,,,2026-09-07 15:41:39.186659
97,E1030,transfer,2025-03-04,HR Specialist,HR,84329.0,2026-09-07 15:41:39.186659
98,E1030,termination,2026-01-13,,,,2026-09-07 15:41:39.186659
99,E1030,termination,2025-09-18,,,,2026-09-07 15:41:39.186659
100,E1030,termination,2026-04-30,,,,2026-09-07 15:41:39.186659
101,E1031,transfer,2021-04-09,Finance Analyst,Finance,130485.0,2026-09-07 15:41:39.186659
102,E1031,salary_change,2019-03-28,,,110009.0,2026-09-07 15:41:39.186659
103,E1031,transfer,2020-06-25,Product Manager,Product,135059.0,2026-09-07 15:41:39.186659
104,E1032,transfer,2022-07-27,Support Specialist,Support,127499.0,2026-09-07 15:41:39.186659
105,E1032,promotion,2021-02-10,Product Manager,Product,110524.0,2026-09-07 15:41:39.186659
106,E1032,transfer,2020-05-01,Software Engineer,Engineering,124176.0,2026-09-07 15:41:39.186659
107,E1033,termination,2024-01-17,,,,2026-09-07 15:41:39.186659
108,E1033,salary_change,2026-06-28,,,74073.0,2026-09-07 15:41:39.186659
109,E1033,transfer,2025-03-18,Sales Manager,Sales,81719.0,2026-09-07 15:41:39.186659
110,E1033,transfer,2025-08-27,Support Specialist,Support,90412.0,2026-09-07 15:41:39.186659
111,E1034,termination,2022-12-31,,,,2026-09-07 15:41:39.186659
112,E1035,promotion,2023-10-26,Product Manager,Product,56078.0,2026-09-07 15:41:39.186659
113,E1035,transfer,2026-02-20,HR Specialist,HR,59001.0,2026-09-07 15:41:39.186659
114,E1035,promotion,2026-05-29,Finance Analyst,Finance,49887.0,2026-09-07 15:41:39.186659
115,E1035,transfer,2024-12-02,Data Engineer,Data,51094.0,2026-09-07 15:41:39.186659
116,E1036,promotion,2021-01-12,Software Engineer,Engineering,91241.0,2026-09-07 15:41:39.186659
117,E1037,transfer,2019-02-01,Support Specialist,Support,76986.0,2026-09-07 15:41:39.186659
118,E1037,promotion,2019-08-27,Software Engineer,Engineering,85729.0,2026-09-07 15:41:39.186659
119,E1037,transfer,2018-11-05,Data Engineer,Data,80314.0,2026-09-07 15:41:39.186659
120,E1037,salary_change,2019-10-24,,,68741.0,2026-09-07 15:41:39.186659
121,E1038,termination,2026-02-05,,,,2026-09-07 15:41:39.186659
